Ensembl,logFC,FDR,SYMBOL
ENSG00000075340,-1.311781914,2.64E-09,ADD2
ENSG00000148700,1.645341665,1.28E-31,ADD3
ENSG00000197177,-0.958917686,1.35E-05,ADGRA1
ENSG00000020181,-0.497100437,0.015344719,ADGRA2
ENSG00000152990,-0.534163634,1.55E-06,ADGRA3
ENSG00000181790,-2.935409378,4.80E-27,ADGRB1
ENSG00000121753,-0.359184366,0.000854999,ADGRB2
ENSG00000135298,-0.22624144,0.06385475,ADGRB3
ENSG00000111452,-0.385568276,0.228192999,ADGRD1
ENSG00000205336,0.013591434,0.948660347,ADGRG1
ENSG00000112414,-0.750089551,0.000112418,ADGRG6
ENSG00000072071,-0.723202053,7.54E-06,ADGRL1
ENSG00000117114,-0.663652777,2.02E-08,ADGRL2
ENSG00000150471,-0.380319217,0.007852244,ADGRL3
ENSG00000164199,-0.089891725,0.540629392,ADGRV1
ENSG00000197894,0.367440505,0.003830514,ADH5
ENSG00000147576,-0.872981737,0.000175382,ADHFE1
ENSG00000182551,0.227002854,0.247666496,ADI1
ENSG00000159346,0.6668274,7.61E-08,ADIPOR1
ENSG00000006831,0.088913402,0.515884353,ADIPOR2
ENSG00000156110,0.145099787,0.301711058,ADK
ENSG00000148926,1.95112329,5.65E-08,ADM
ENSG00000128165,2.477299621,4.71E-23,ADM2
ENSG00000101126,-0.547352817,0.000542877,ADNP
ENSG00000101544,-0.115876163,0.312224655,ADNP2
ENSG00000181915,0.012850636,0.924529592,ADO
ENSG00000163485,-0.464320305,0.002972661,ADORA1
ENSG00000128271,-0.684189602,0.025941223,ADORA2A
ENSG00000170425,1.490604358,1.68E-14,ADORA2B
ENSG00000159322,0.285028273,0.013086831,ADPGK
ENSG00000153531,-0.124412219,0.656673662,ADPRHL1
ENSG00000116863,0.364720948,0.001104533,ADPRHL2
ENSG00000170222,0.105018657,0.617430363,ADPRM
ENSG00000120907,-1.017713573,0.000588594,ADRA1A
ENSG00000170214,-3.396015315,2.25E-51,ADRA1B
ENSG00000150594,-3.036859173,3.53E-27,ADRA2A
