Gene,NDC,DSIPS,THO3B,THO3F
ENSG00000234397,6,7,2,4
ENSG00000184677,2690,2396,2258,2438
ENSG00000237200,13,22,9,11
ENSG00000070886,108,78,17,27
ENSG00000173372,0,2,0,0
ENSG00000159189,0,0,0,1
ENSG00000173369,0,4,0,6
ENSG00000133216,14312,16452,15597,21510
ENSG00000265422,3,2,3,6
ENSG00000216157,0,0,0,0
ENSG00000225952,11,11,10,12
ENSG00000264014,0,2,0,5
ENSG00000272796,1941,1949,2437,3948
ENSG00000215906,0,1,0,1
ENSG00000227868,6,6,4,7
ENSG00000004487,27596,18561,23571,25026
ENSG00000240553,81,59,63,68
ENSG00000263793,1,2,1,1
ENSG00000266802,3,4,2,5
ENSG00000169641,3540,2720,2350,2636
ENSG00000229010,9,7,9,13
ENSG00000206935,0,0,3,0
ENSG00000252578,4,5,2,1
ENSG00000179546,2,10,10,8
ENSG00000215381,1,2,5,2
ENSG00000261326,461,271,209,284
ENSG00000125944,18863,15925,15390,17055
ENSG00000125945,3073,1867,3188,2285
ENSG00000249087,767,732,713,617
ENSG00000201405,0,0,0,0
ENSG00000271420,3,2,0,0
ENSG00000204219,182,74,67,87
ENSG00000232482,1,4,1,1
ENSG00000088280,9392,6317,7100,6696
ENSG00000007968,3062,1185,769,1484
ENSG00000235052,9,4,11,4
ENSG00000117318,1645,3286,10720,4690
ENSG00000197880,11,6,0,1
ENSG00000229239,0,3,3,0
ENSG00000142676,43117,39509,37170,37822
ENSG00000203589,13,16,15,20
ENSG00000244609,21,7,1,6
ENSG00000011007,4134,3748,4646,4145
ENSG00000236810,60,100,67,77
ENSG00000057757,3244,2262,3106,2612
ENSG00000011009,1892,1242,1776,1820
ENSG00000117308,1478,1105,1835,1536
ENSG00000117305,1476,1295,1739,1427
ENSG00000179163,740,731,1317,660
ENSG00000188822,10,1,2,8
ENSG00000264347,0,0,0,0
ENSG00000238538,0,0,0,0
ENSG00000229106,0,2,0,0
ENSG00000232557,0,0,0,0
ENSG00000264926,0,0,0,0
ENSG00000230228,4,7,8,1
ENSG00000189266,2944,2495,2649,2692
ENSG00000188529,10364,6935,7841,8737
ENSG00000215905,0,0,0,0
ENSG00000225315,0,0,0,0
ENSG00000142661,7,45,66,15
ENSG00000230703,0,0,0,0
ENSG00000142677,0,1,2,0
ENSG00000185436,177,113,197,75
ENSG00000230023,0,1,0,2
ENSG00000221032,0,0,0,0
ENSG00000266511,0,0,0,0
ENSG00000232298,0,0,0,1
ENSG00000158055,30,27,41,22
ENSG00000001460,399,594,825,318
ENSG00000001461,1890,1624,2812,1704
ENSG00000117602,1166,1652,3912,1524
ENSG00000266551,0,0,0,1
ENSG00000264443,0,0,4,0
ENSG00000184454,7,8,11,3
ENSG00000227312,0,0,0,0
